nohup: ignoring input
Timesteps: 56600, Mean reward: 546.97
Timesteps: 56700, Mean reward: 549.57
Timesteps: 56800, Mean reward: 553.89
Timesteps: 56900, Mean reward: 547.88
Timesteps: 57000, Mean reward: 554.09
Timesteps: 57100, Mean reward: 545.78
Timesteps: 57200, Mean reward: 555.27
Timesteps: 57300, Mean reward: 552.57
Timesteps: 57400, Mean reward: 553.38
Timesteps: 57500, Mean reward: 551.54
Timesteps: 57600, Mean reward: 595.51
Timesteps: 57700, Mean reward: 549.58
Timesteps: 57800, Mean reward: 576.54
Timesteps: 57900, Mean reward: 592.44
Timesteps: 58000, Mean reward: 550.18
Timesteps: 58100, Mean reward: 283.53
Timesteps: 58200, Mean reward: 457.64
Timesteps: 58300, Mean reward: 453.07
Timesteps: 58400, Mean reward: 510.59
Timesteps: 58500, Mean reward: 476.42
Timesteps: 58600, Mean reward: 423.21
Timesteps: 58700, Mean reward: 406.71
Timesteps: 58800, Mean reward: 545.95
Timesteps: 58900, Mean reward: 409.16
Timesteps: 59000, Mean reward: 449.29
Timesteps: 59100, Mean reward: 416.48
Timesteps: 59200, Mean reward: 559.36
Timesteps: 59300, Mean reward: 405.13
Timesteps: 59400, Mean reward: 487.27
Timesteps: 59500, Mean reward: 464.76
Timesteps: 59600, Mean reward: 405.71
Timesteps: 59700, Mean reward: 447.92
Timesteps: 59800, Mean reward: 450.95
Timesteps: 59900, Mean reward: 465.06
Timesteps: 60000, Mean reward: 457.91
Timesteps: 60100, Mean reward: 497.52
Timesteps: 60200, Mean reward: 406.76
Timesteps: 60300, Mean reward: 558.08
Timesteps: 60400, Mean reward: 524.33
Timesteps: 60500, Mean reward: 452.39
Timesteps: 60600, Mean reward: 527.89
Timesteps: 60700, Mean reward: 520.86
Timesteps: 60800, Mean reward: 569.02
Timesteps: 60900, Mean reward: 626.04
Timesteps: 61000, Mean reward: 545.34
Timesteps: 61100, Mean reward: 527.39
Timesteps: 61200, Mean reward: 452.20
Timesteps: 61300, Mean reward: 434.11
Timesteps: 61400, Mean reward: 579.08
Timesteps: 61500, Mean reward: 424.98
Timesteps: 61600, Mean reward: 552.93
Timesteps: 61700, Mean reward: 580.90
Timesteps: 61800, Mean reward: 571.26
Timesteps: 61900, Mean reward: 592.28
Timesteps: 62000, Mean reward: 543.56
Timesteps: 62100, Mean reward: 568.69
Timesteps: 62200, Mean reward: 538.03
Timesteps: 62300, Mean reward: 571.77
Timesteps: 62400, Mean reward: 555.87
Timesteps: 62500, Mean reward: 594.66
Timesteps: 62600, Mean reward: 556.74
Timesteps: 62700, Mean reward: 557.36
Timesteps: 62800, Mean reward: 564.67
Timesteps: 62900, Mean reward: 601.79
Timesteps: 63000, Mean reward: 566.05
Timesteps: 63100, Mean reward: 569.30
Timesteps: 63200, Mean reward: 552.77
Timesteps: 63300, Mean reward: 555.18
Timesteps: 63400, Mean reward: 554.00
Timesteps: 63500, Mean reward: 555.37
Timesteps: 63600, Mean reward: 550.89
Timesteps: 63700, Mean reward: 550.70
Timesteps: 63800, Mean reward: 550.88
Timesteps: 63900, Mean reward: 547.75
Timesteps: 64000, Mean reward: 545.02
Timesteps: 64100, Mean reward: 545.90
Timesteps: 64200, Mean reward: 548.96
Timesteps: 64300, Mean reward: 548.99
Timesteps: 64400, Mean reward: 545.55
Timesteps: 64500, Mean reward: 546.01
Timesteps: 64600, Mean reward: 543.23
Timesteps: 64700, Mean reward: 545.76
Timesteps: 64800, Mean reward: 545.33
Timesteps: 64900, Mean reward: 547.45
Timesteps: 65000, Mean reward: 547.29
Timesteps: 65100, Mean reward: 549.61
Timesteps: 65200, Mean reward: 544.83
Timesteps: 65300, Mean reward: 547.50
Timesteps: 65400, Mean reward: 549.01
Timesteps: 65500, Mean reward: 550.15
Timesteps: 65600, Mean reward: 546.80
Timesteps: 65700, Mean reward: 548.59
Timesteps: 65800, Mean reward: 557.96
Timesteps: 65900, Mean reward: 612.48
Timesteps: 66000, Mean reward: 543.83
Timesteps: 66100, Mean reward: 574.16
Timesteps: 66200, Mean reward: 610.16
Timesteps: 66300, Mean reward: 571.50
Timesteps: 66400, Mean reward: 543.86
Timesteps: 66500, Mean reward: 564.20
